n_institutions,n_per_group_per_inst,total_n,true_or,power,convergence_rate
6,2,48,1.2,0.17704918032786884,0.61
6,2,48,1.5,0.48135593220338985,0.59
6,2,48,2,0.75,0.576
6,2,48,2.5,0.9361702127659575,0.564
6,4,96,1.2,0.23452768729641693,0.614
6,4,96,1.5,0.6875,0.576
6,4,96,2,0.9511400651465798,0.614
6,4,96,2.5,1,0.578
6,6,144,1.2,0.2898089171974522,0.628
6,6,144,1.5,0.7745098039215687,0.612
6,6,144,2,0.9937888198757764,0.644
6,6,144,2.5,1,0.624
8,2,64,1.2,0.21621621621621623,0.592
8,2,64,1.5,0.5400696864111498,0.574
8,2,64,2,0.8557046979865772,0.596
8,2,64,2.5,0.972027972027972,0.572
8,4,128,1.2,0.29354838709677417,0.62
8,4,128,1.5,0.7246835443037974,0.632
8,4,128,2,0.9724770642201835,0.654
8,4,128,2.5,1,0.652
8,6,192,1.2,0.3795180722891566,0.664
8,6,192,1.5,0.9,0.68
8,6,192,2,1,0.634
8,6,192,2.5,1,0.676
10,2,80,1.2,0.26,0.6
10,2,80,1.5,0.5827586206896552,0.58
10,2,80,2,0.9154078549848943,0.662
10,2,80,2.5,0.9777777777777777,0.63
10,4,160,1.2,0.30606060606060603,0.66
10,4,160,1.5,0.84,0.65
10,4,160,2,1,0.674
10,4,160,2.5,1,0.688
10,6,240,1.2,0.44510385756676557,0.674
10,6,240,1.5,0.9158878504672897,0.642
10,6,240,2,1,0.672
10,6,240,2.5,1,0.646
