output_id,institution,career_stage,stratum,group,os_score,os_score_ord
1,Inst1,MSc,Inst1_MSc,LDP,2,2
2,Inst1,MSc,Inst1_MSc,LDP,2,2
3,Inst1,MSc,Inst1_MSc,LDP,1,1
4,Inst1,MSc,Inst1_MSc,LDP,0,0
5,Inst1,MSc,Inst1_MSc,LDP,1,1
6,Inst1,PhD,Inst1_PhD,LDP,1,1
7,Inst1,PhD,Inst1_PhD,LDP,0,0
8,Inst1,PhD,Inst1_PhD,LDP,1,1
9,Inst1,PhD,Inst1_PhD,LDP,2,2
10,Inst1,PhD,Inst1_PhD,LDP,1,1
11,Inst1,MSc,Inst1_MSc,Other,0,0
12,Inst1,MSc,Inst1_MSc,Other,4,4
13,Inst1,MSc,Inst1_MSc,Other,2,2
14,Inst1,MSc,Inst1_MSc,Other,1,1
15,Inst1,MSc,Inst1_MSc,Other,1,1
16,Inst1,PhD,Inst1_PhD,Other,0,0
17,Inst1,PhD,Inst1_PhD,Other,1,1
18,Inst1,PhD,Inst1_PhD,Other,0,0
19,Inst1,PhD,Inst1_PhD,Other,1,1
20,Inst1,PhD,Inst1_PhD,Other,1,1
21,Inst2,MSc,Inst2_MSc,LDP,1,1
22,Inst2,MSc,Inst2_MSc,LDP,2,2
23,Inst2,MSc,Inst2_MSc,LDP,1,1
24,Inst2,MSc,Inst2_MSc,LDP,1,1
25,Inst2,MSc,Inst2_MSc,LDP,0,0
26,Inst2,MSc,Inst2_MSc,LDP,0,0
27,Inst2,MSc,Inst2_MSc,LDP,1,1
28,Inst2,MSc,Inst2_MSc,LDP,0,0
29,Inst2,MSc,Inst2_MSc,LDP,0,0
30,Inst2,PhD,Inst2_PhD,LDP,2,2
31,Inst2,MSc,Inst2_MSc,Other,0,0
32,Inst2,MSc,Inst2_MSc,Other,2,2
33,Inst2,MSc,Inst2_MSc,Other,2,2
34,Inst2,MSc,Inst2_MSc,Other,0,0
35,Inst2,MSc,Inst2_MSc,Other,0,0
36,Inst2,MSc,Inst2_MSc,Other,0,0
37,Inst2,MSc,Inst2_MSc,Other,0,0
38,Inst2,MSc,Inst2_MSc,Other,1,1
39,Inst2,MSc,Inst2_MSc,Other,0,0
40,Inst2,PhD,Inst2_PhD,Other,1,1
41,Inst3,MSc,Inst3_MSc,LDP,0,0
42,Inst3,PhD,Inst3_PhD,LDP,1,1
43,Inst3,PhD,Inst3_PhD,LDP,2,2
44,Inst3,PhD,Inst3_PhD,LDP,1,1
